,n_placement,n_step,placed_dev,reward,HPWL,congestion,action,legalized_action
154,51,1,XM5,0.0,0.0,0.0,"(1497, 1164, 180)","(1843.0, 1164.0, 180)"
155,51,2,XDL_XM3_XM4,-2905.4051852605644,2725.0,32546.030868898575,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
156,52,0,XDP_XM1_XM2,0.0,0.0,0.0,"(1497, 1164, 180)","(1857.5, 885.0, 180)"
157,52,1,XM5,0.0,0.0,0.0,"(1497, 1164, 180)","(1843.0, 1164.0, 180)"
158,52,2,XDL_XM3_XM4,-2905.4051852605644,2725.0,32546.030868898575,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
159,53,0,XDL_XM3_XM4,0.0,0.0,0.0,"(1497, 1164, 180)","(1857.5, 1164.0, 180)"
160,53,1,XDP_XM1_XM2,0.0,0.0,0.0,"(1497, 1164, 180)","(1497.0, 885.0, 180)"
161,53,2,XM5,-3166.8237199275627,2985.0,33059.8651282968,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
162,54,0,XDL_XM3_XM4,0.0,0.0,0.0,"(1497, 1164, 180)","(1857.5, 1164.0, 180)"
163,54,1,XM5,0.0,0.0,0.0,"(1497, 1164, 180)","(1497.0, 885.0, 180)"
164,54,2,XDP_XM1_XM2,-3108.035991145352,2918.0,36113.67793059633,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
165,55,0,XDL_XM3_XM4,0.0,0.0,0.0,"(1497, 1164, 180)","(1857.5, 1164.0, 180)"
166,55,1,XM5,0.0,0.0,0.0,"(1497, 1164, 180)","(1497.0, 885.0, 180)"
167,55,2,XDP_XM1_XM2,-3108.035991145352,2918.0,36113.67793059633,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
168,56,0,XDP_XM1_XM2,0.0,0.0,0.0,"(1497, 1164, 180)","(1482.5, 885.0, 180)"
169,56,1,XDL_XM3_XM4,0.0,0.0,0.0,"(1497, 1164, 180)","(1843.0, 1164.0, 180)"
170,56,2,XM5,-3169.1411976635272,2985.0,33907.98067695824,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
171,57,0,XDP_XM1_XM2,0.0,0.0,0.0,"(1497, 1164, 180)","(1482.5, 885.0, 180)"
172,57,1,XDL_XM3_XM4,0.0,0.0,0.0,"(1497, 1164, 180)","(1843.0, 1164.0, 180)"
